koi_disposition,orbital_period,transit_duration,transit_depth,planet_radius,stellar_logg,stellar_radius,insolation,eq_temp,mag,model_snr,ra,dec,mission,stellar_teff
CONFIRMED,9.48803557,2.9575,615.8,2.26,4.467,0.927,93.59,793,15.347,35.8,291.93423,48.141651,Kepler,
CONFIRMED,54.4183827,4.507,874.8,2.83,4.467,0.927,9.11,443,15.347,25.8,291.93423,48.141651,Kepler,
CANDIDATE,19.89913995,1.7822,10829,14.6,4.544,0.868,39.3,638,15.436,76.3,297.00482,48.134129,Kepler,
FALSE POSITIVE,1.736952453,2.40641,8079.2,33.46,4.564,0.791,891.96,1395,15.597,505.6,285.53461,48.28521,Kepler,
CONFIRMED,2.525591777,1.6545,603.3,2.75,4.438,1.046,926.16,1406,15.509,40.9,288.75488,48.2262,Kepler,
CONFIRMED,11.09432054,4.5945,1517.5,3.9,4.486,0.972,114.81,835,15.714,66.5,296.28613,48.22467,Kepler,
CONFIRMED,4.13443512,3.1402,686,2.77,4.486,0.972,427.65,1160,15.714,40.2,296.28613,48.22467,Kepler,
CONFIRMED,2.56658897,2.429,226.5,1.59,4.486,0.972,807.74,1360,15.714,15,296.28613,48.22467,Kepler,
FALSE POSITIVE,7.36178958,5.022,233.7,39.21,3.986,1.958,767.22,1342,12.66,47.7,298.86435,42.151569,Kepler,
CONFIRMED,16.06864674,3.5347,4914.3,5.76,4.485,0.848,30.75,600,15.841,161.9,286.99948,48.37579,Kepler,
CONFIRMED,2.470613377,1.74319,14231,13.04,4.457,0.964,761.46,1339,11.338,4304.3,286.80847,49.316399,Kepler,
CONFIRMED,2.204735417,3.88864,6674.7,16.1,4.019,1.952,4148.92,2048,10.463,5945.9,292.24728,47.969521,Kepler,
CONFIRMED,3.522498429,3.19843,9145.7,14.59,4.169,1.451,1264.67,1521,13.563,1741.5,281.28812,42.45108,Kepler,
CONFIRMED,3.709214104,2.6302,131.1,1.16,4.407,1.022,500.46,1206,12.772,50.6,295.64871,48.49556,Kepler,
FALSE POSITIVE,11.52144606,3.6399,17984,150.51,4.554,0.848,75.88,753,15.472,622.1,297.07993,47.597401,Kepler,
FALSE POSITIVE,19.40393776,12.2155,8918.7,7.18,4.591,0.68,17.69,523,15.487,214.7,289.25821,47.635319,Kepler,
FALSE POSITIVE,19.22138894,4.79843,74284,49.29,4.496,0.947,55.97,698,15.341,2317,295.81454,47.69035,Kepler,
FALSE POSITIVE,16.46983774,9.4378,10479,7.94,4.517,0.786,29.61,595,15.788,303.4,297.15442,47.668701,Kepler,
CONFIRMED,9.27358173,3.2875,1288.3,2.47,4.583,0.696,41.85,649,15.302,87.2,288.13824,47.724449,Kepler,
CONFIRMED,6.02930329,1.5821,1912.7,2.85,4.648,0.672,50.04,678,15.784,65.4,283.71088,47.86327,Kepler,
FALSE POSITIVE,2.696370652,3.6129,397.9,1.58,4.504,0.819,305.34,1066,15.269,48.2,283.76547,47.804298,Kepler,
CONFIRMED,5.349553819,3.0278,831,2.55,4.44,0.91,168.99,919,15.416,60.6,292.37613,47.880989,Kepler,
CONFIRMED,3.94105221,2.5984,363.3,1.7,4.44,0.91,253.15,1018,15.416,28.9,292.37613,47.880989,Kepler,
CONFIRMED,8.10904807,3.596,217.4,1.3,4.44,0.91,97.03,800,15.416,14.1,292.37613,47.880989,Kepler,
FALSE POSITIVE,386.6030528,6.8057,24927,41.5,4.081,1.58,1.84,297,12.394,994,292.27374,37.671558,Kepler,
CONFIRMED,21.67699193,3.4555,857.2,2.95,4.5,0.828,18.64,530,15.377,34.3,290.46512,47.92918,Kepler,
CONFIRMED,4.99677968,2.1717,934.7,2.78,4.552,0.847,166.95,917,15.861,28.2,297.80826,47.946671,Kepler,
CONFIRMED,4.280963604,2.875,750.8,2.3,4.564,0.831,247.87,1012,15.356,61.8,294.26581,49.314091,Kepler,
FALSE POSITIVE,1.50635409,1.5155,2211.7,4.53,4.563,0.831,1054.12,1452,15.525,181.1,295.66522,49.351009,Kepler,
FALSE POSITIVE,670.645531,53.412,18091,14.14,4.466,0.983,0.35,196,15.207,642.7,296.69861,49.316479,Kepler,
FALSE POSITIVE,61.2563628,7.633,5123.3,39.87,4.402,1.091,15.43,505,15.25,85.3,283.72592,49.479519,Kepler,
CONFIRMED,38.3775486,5.588,724.2,2.82,4.369,1.036,18.53,529,15.172,34.7,291.72202,49.480869,Kepler,
CONFIRMED,41.19725502,4.6297,2213.9,3.86,4.485,0.848,8.76,439,15.841,51.2,286.99948,48.37579,Kepler,
CONFIRMED,6.252962249,2.5819,1036.9,2.65,4.485,0.848,108.3,823,15.841,47.1,286.99948,48.37579,Kepler,
CONFIRMED,16.01308419,3.2554,1121.9,3.1,4.499,0.826,29.31,593,15.39,33.2,297.02563,48.478588,Kepler,
CONFIRMED,32.62876672,4.7971,1804.8,3.36,4.56,0.798,15.55,506,15.082,80,285.71854,48.505859,Kepler,
CONFIRMED,91.7732862,6.473,652,2.12,4.56,0.798,3.92,359,15.082,19.1,285.71854,48.505859,Kepler,
CONFIRMED,4.959319244,2.22739,9802,12.21,4.359,1.082,349.4,1103,15.263,696.5,292.16705,48.727589,Kepler,
FALSE POSITIVE,2.701287801,3.3827,860.4,6.54,4.468,0.91,527.81,1222,15.54,48.3,297.92365,48.777321,Kepler,
CONFIRMED,4.49876511,3.7362,460,2.1,4.486,0.969,389.62,1133,15.395,29.5,298.45685,48.791592,Kepler,
FALSE POSITIVE,19.65120951,5.2514,11766,12.42,4.391,1.063,67.03,730,15.536,513.4,291.0939,48.933842,Kepler,
CONFIRMED,5.412203927,2.9472,601.6,2.94,4.339,1.087,337.68,1093,12.791,166.7,287.88733,46.276241,Kepler,
CONFIRMED,41.43958662,10.5989,2793.1,5.5,4.367,1.046,16.72,516,15.4,141.1,295.55505,49.017342,Kepler,
CONFIRMED,8.35389523,2.2514,1041.6,2.52,4.582,0.787,91.9,790,15.317,43.4,285.49924,49.277351,Kepler,
CONFIRMED,4.125543472,3.1744,1487.3,4.43,4.417,1.103,565.35,1243,15.506,128.6,291.93616,49.253979,Kepler,
CONFIRMED,2.816504904,2.50587,16814,12.21,4.452,0.955,521.13,1219,15.052,1406.8,297.01547,49.225288,Kepler,
FALSE POSITIVE,33.93373447,14.561,8503.7,7.34,4.628,0.705,8.11,430,15.716,236.1,284.17233,49.360722,Kepler,
CONFIRMED,3.689920099,2.6557,426.7,1.89,4.518,0.917,408.99,1147,15.242,35.6,291.62241,50.61824,Kepler,
CONFIRMED,4.431238488,3.15,1010.9,3.25,4.428,1.015,351.23,1104,15.367,71.1,295.81616,51.121738,Kepler,
CONFIRMED,11.37936986,2.6255,1023.5,3.95,4.428,1.015,99.68,806,15.367,37.9,295.81616,51.121738,Kepler,
CONFIRMED,26.39432897,3.573,1510.9,3.07,4.595,0.763,13.49,489,15.234,48.2,289.39972,51.25032,Kepler,
CONFIRMED,13.57078281,3.3539,511.7,2.64,4.406,1.012,89.61,785,12.882,88.4,300.86398,44.337551,Kepler,
CONFIRMED,7.12594387,3.0014,192.4,1.79,4.339,1.087,233.31,997,12.791,47.1,287.88733,46.276241,Kepler,
FALSE POSITIVE,7.442652004,2.3078,24446,15.03,4.469,0.956,206.78,967,15.27,835.6,288.98682,49.733742,Kepler,
CONFIRMED,16.38489988,3.0249,1127.1,2,4.661,0.615,8.35,433,15.095,28.9,286.73804,49.97575,Kepler,
CONFIRMED,7.8774163,2.0805,1306.1,2.16,4.661,0.615,22.18,553,15.095,38.7,286.73804,49.97575,Kepler,
CONFIRMED,36.4454001,4.007,1122.3,1.99,4.661,0.615,2.88,332,15.095,21.7,286.73804,49.97575,Kepler,
CONFIRMED,3.728732147,2.683,5226.5,6.02,4.577,0.809,258.34,1023,15.523,345.2,290.78574,50.054119,Kepler,
CANDIDATE,40.4195037,3.362,6256,7.51,4.507,0.781,11.29,467,15.487,36.9,294.31686,50.080231,Kepler,
CONFIRMED,2.243380573,1.1196,821.7,1.99,4.698,0.564,107.6,822,15.135,38.9,285.17621,50.149818,Kepler,
FALSE POSITIVE,10.40599802,6.5036,14489,11.23,4.393,0.924,113.94,833,15.562,745.2,289.23553,50.241001,Kepler,
CONFIRMED,2.337437946,1.9982,971.2,2.34,4.595,0.765,311.16,1070,15.334,82.4,293.83331,50.23035,Kepler,
CANDIDATE,7.2406612,0.558,556.4,19.45,4.595,0.765,68.63,734,15.334,13.7,293.83331,50.23035,Kepler,
CANDIDATE,3.43591631,3.133,23.2,0.55,4.339,1.087,617.61,1272,12.791,8.7,287.88733,46.276241,Kepler,
CONFIRMED,11.59822233,2.5237,2804.5,2.65,4.79,0.473,5.82,396,15.937,71,296.22195,50.28722,Kepler,
CONFIRMED,6.575315881,4.3084,2793.3,5.31,4.415,0.989,251.38,1015,15.312,221.1,290.09805,50.321609,Kepler,
CONFIRMED,7.275040844,7.5377,3001,4.86,4.556,0.867,113.64,833,15.08,312.1,295.45529,50.49456,Kepler,
CONFIRMED,19.27153892,2.7594,1219.8,1.93,4.702,0.56,5.66,393,15.385,37.1,293.97336,50.53191,Kepler,
CONFIRMED,10.06524317,1.369,1053.3,1.91,4.702,0.56,13.43,488,15.385,30.3,293.97336,50.53191,Kepler,
CONFIRMED,12.3935651,3.8896,916.6,2.66,4.603,0.75,49.68,677,15.505,35.8,296.02133,50.56778,Kepler,
CONFIRMED,43.84439721,6.802,615.2,2.87,4.406,1.012,18.77,531,12.882,83.7,300.86398,44.337551,Kepler,
FALSE POSITIVE,3.341913228,3.813,725.3,21.55,4.551,0.811,268.67,1032,15.629,39,292.31595,38.27029,Kepler,
FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,4.41,0.973,1355.88,1547,15.279,103.6,294.36819,38.31028,Kepler,
CONFIRMED,2.711504086,3.0099,837.5,3.12,4.442,1.076,960.79,1420,15.541,64.5,291.65353,38.494659,Kepler,
CONFIRMED,7.21203748,4.0491,950.4,3.32,4.442,1.076,260.58,1025,15.541,51.5,291.65353,38.494659,Kepler,
FALSE POSITIVE,14.1798187,2.505,459.9,1.88,4.539,0.878,60.35,711,15.727,11.2,291.0448,51.321671,Kepler,
CONFIRMED,8.47237911,2.7245,1123.5,2.59,4.587,0.788,75.44,751,15.339,47.6,296.36652,51.319519,Kepler,
CONFIRMED,60.4189369,5.039,931.3,2.36,4.587,0.788,5.49,390,15.339,20.1,296.36652,51.319519,Kepler,
CONFIRMED,12.61190435,5.1497,6105.6,7.4,4.508,0.919,76.15,753,15.14,277.2,289.11221,51.737381,Kepler,
FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,4.22,1.339,3209.29,1920,15.122,112.6,290.84369,37.728828,Kepler,
FALSE POSITIVE,10.31872301,3.836,871.7,28.59,4.409,1.06,139.26,876,15.065,38.2,291.84891,37.713501,Kepler,
CONFIRMED,2.539183147,2.4282,382.1,2.06,4.35,1.062,743.09,1332,15.026,38.9,291.43997,37.905659,Kepler,
CONFIRMED,6.770300385,2.0844,1304,2.77,4.656,0.679,102.87,812,15.591,50.8,290.87051,38.273628,Kepler,
FALSE POSITIVE,0.444291966,2.0792,10967,27.51,4.678,0.636,2706.26,1836,15.748,299.7,290.99689,38.28492,Kepler,
CANDIDATE,10.181584,3.5089,5741.1,7.73,4.541,0.836,102.91,812,15.657,183.6,291.28195,38.241669,Kepler,
CONFIRMED,20.06036336,3.3203,1494.7,1.96,4.754,0.493,4,361,15.954,35.2,286.07913,39.27832,Kepler,
CONFIRMED,46.1842039,4.758,1394.7,1.83,4.754,0.493,1.32,273,15.954,26,286.07913,39.27832,Kepler,
CONFIRMED,23.9800854,5.351,104,1.31,4.406,1.012,41.94,649,12.882,17.1,300.86398,44.337551,Kepler,
CONFIRMED,7.82502168,2.186,520.8,1.2,4.754,0.493,14.05,494,15.954,15.9,286.07913,39.27832,Kepler,
CONFIRMED,3.895936525,2.3111,8544.8,7.34,4.592,0.774,241.62,1005,15.725,370.8,294.65524,39.308361,Kepler,
CONFIRMED,22.36646466,5.228,986.8,2.32,4.615,0.734,19.45,536,15.583,32.1,294.71063,39.52174,Kepler,
CONFIRMED,1.625522174,2.38963,7969,9.73,4.322,1.106,1467.41,1579,15.001,799.7,293.87192,38.422939,Kepler,
CANDIDATE,19.62034692,2.0038,21725,13.6,4.492,0.905,40.39,643,15.562,340.5,293.81619,38.563568,Kepler,
FALSE POSITIVE,7.544039,6.222,322.6,17.47,4.567,0.824,116.46,838,15.559,14.2,293.94116,38.601101,Kepler,
