default_flag,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_radj,ttv_flag,st_teff,st_rad,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,koi_disposition
0,1,1,2016,0,41.688644,2.35545351,0.21013949,0,5703,0.956122,53.6511231,20.5990205,179.461,10.849,9.368,10.8644,CONFIRMED
0,1,1,2016,0,41.6855,2.23,0.19894727,0,5766,0.928,53.6511231,20.5990205,179.461,10.849,9.368,10.8644,CONFIRMED
1,1,1,2016,0,41.6855,2.57807,0.23,0,5766,1.08,53.6511231,20.5990205,179.461,10.849,9.368,10.8644,CONFIRMED
1,1,0,2018,0,2.30183,1.12,0.0999,0,4616.52,0.762602,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995,CANDIDATE
0,1,0,2018,0,2.302368,1.31258765,0.12,0,4720,0.710995,183.8462454,-6.2683289,97.1795,11.727,9.22,11.3995,CANDIDATE
1,1,0,2016,0,1.1947488,4.19,0.37380676,0,3919,0.57,175.9385954,-5.8733592,290.062,19.21,14.23,17.8892,CANDIDATE
0,1,0,2018,0,6.178369,9.91257877,0.88,0,5015,0.789478,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806,CANDIDATE
1,1,0,2018,0,6.17887,8.84,0.789,0,4719.28,0.849432,181.3718091,-5.8482738,117.704,11.733,9.43,11.4806,CANDIDATE
1,1,0,2019,0,1.17589,0.86,0.077,0,5286,0.309,173.902664,-5.364612,166.5844,16.64,11.397,12.6728,CANDIDATE
1,1,0,2019,0,10.6966,1.45,0.129,0,5286,0.588,173.0432884,-5.2471672,212.291,14.346,11.43,13.9562,CANDIDATE
1,1,0,2019,0,1.5374115,45,4,0,5286,1.599,174.9978388,-5.0404536,666.23,12.382,10.797,12.0464,CANDIDATE
1,1,0,2018,0,2.71189,4.34,0.387,0,6402,3.16745,181.5936878,-4.9467043,1032.42,11.461,10.777,11.8357,CANDIDATE
1,1,2,2018,0,18.10549,2.09985108,0.19,0,6213,1.224685,181.1211419,-4.8991358,266.864,10.971,9.591,10.7424,CANDIDATE
1,1,1,2020,0,6.7987,1.047,0.09340708,0,3648,0.282,170.1408561,-4.8070039,264.78,17.6984,12.619,16.4386,CONFIRMED
1,1,0,2016,0,79.9999,10.2,0.91,0,4542,0.508,169.1498727,-4.6564416,333.46,14.258,11.604,13.9651,CANDIDATE
1,1,0,2019,0,6.77145,30,3,0,5286,0.707,169.1498727,-4.6564416,333.46,14.258,11.604,13.9651,CANDIDATE
1,1,0,2018,0,17.77297,26.44,2.359,0,5847,1.25428,184.1697015,-4.5603949,601.265,13.327,11.65,13.0873,CANDIDATE
1,1,0,2016,0,0.99656225,32.8,2.92622,0,3727,0.5,172.7104166,-4.5075924,335.632,16.226,12.335,15.4518,CANDIDATE
0,1,0,2016,0,14.912381,3.55,0.31670979,0,4224,0.65,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437,CANDIDATE
1,1,0,2016,0,14.9139,3.24,0.289,0,5286,0.647,177.0948891,-4.1644059,360.103,15.537,12.424,15.0437,CANDIDATE
1,1,0,2016,0,0.57303573,3.35,0.29886698,0,3570,0.43,174.1207146,-3.4828286,1138.64,18.78,15.155,18.0887,CANDIDATE
1,1,1,2019,0,28.1656,1.87,0.16683023,0,5286,0.863,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612,CONFIRMED
0,1,1,2019,0,28.1696,2.2,0.2,0,5286,0.374,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612,CONFIRMED
1,1,1,2016,0,7.90417,2.06,0.184,0,5286,0.374,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612,CANDIDATE
0,1,1,2016,0,7.9069606,3.02,0.26942635,0,3772,0.52,179.7058532,-3.3894613,159.259,16.014,11.933,15.2612,CANDIDATE
1,1,0,2016,0,1.0829614,1.56,0.13917388,0,3875,0.56,173.2627978,-3.3887192,299.406,15.657,12.282,15.1848,CANDIDATE
1,1,0,2016,0,0.905655,1.57,0.14,0,5286,0.576,173.0528796,-3.370321,190.075,15.731,11.735,14.9247,CANDIDATE
0,1,0,2016,0,0.90552205,1.52,0.13560532,0,3710,0.5,173.0528796,-3.370321,190.075,15.731,11.735,14.9247,CANDIDATE
0,1,0,2016,0,2.7541129,4.87,0.4344723,0,3834,0.55,177.9464521,-3.2460183,793.131,17.3749,13.748,16.7664,CANDIDATE
1,1,0,2016,0,2.75421,8.4,0.75,0,5286,0.89,177.9464521,-3.2460183,793.131,17.3749,13.748,16.7664,CANDIDATE
0,1,0,2016,0,2.75391,3.78,0.337,0,3918,0.436,177.9464521,-3.2460183,793.131,17.3749,13.748,16.7664,CANDIDATE
1,1,0,2015,0,50.285869,3.47,0.30957266,0,4859,0.74,178.1611264,-3.0949095,829.248,11.668,9.368,11.5044,FALSE POSITIVE
0,1,0,2015,0,50.27762,209.52,18.692,0,5141,10.96,178.1611264,-3.0949095,829.248,11.668,9.368,11.5044,FALSE POSITIVE
1,1,0,2019,0,10.50439,1.75,0.156,0,5286,0.878,178.6905819,-3.0828192,84.947,9.996,8.166,9.78271,CANDIDATE
1,1,0,2019,0,1.684208,5.51,0.492,0,5286,0.431,170.382257,-3.0610326,325.636,16.809,12.941,16.2552,CANDIDATE
1,1,0,2016,0,0.2122013,0.519,0.0463,0,5286,0.188,169.5971097,-2.9913978,71.8937,14.898,10.357,13.8198,CANDIDATE
0,1,0,2016,0,0.21219899,1.05,0.09367473,0,3468,0.37,169.5971097,-2.9913978,71.8937,14.898,10.357,13.8198,CANDIDATE
0,1,0,2016,0,0.212194,0.77,0.069,0,3299,0.26,169.5971097,-2.9913978,71.8937,14.898,10.357,13.8198,CANDIDATE
0,1,0,2016,0,1.5778643,7.55,0.67356588,0,4811,0.73,170.1325248,-2.9026339,290.883,12.605,10.401,12.2983,CANDIDATE
1,1,0,2016,0,1.57771549,2.6,0.23106432,0,5163,1.15585,170.1325248,-2.9026339,290.883,12.605,10.401,12.2983,CANDIDATE
1,1,0,2016,0,1.57771549,2.6,0.23106432,0,7333,2.56752,170.133417,-2.8982132,307.784,9.12,8.438,9.0828,CANDIDATE
1,1,0,2018,0,13.0113,2.43,0.217,0,5347,0.880221,183.3092954,-2.844186,501.257,14.003,12.194,13.8764,CANDIDATE
1,1,0,2016,0,40.70206194,2.6,0.23106432,0,3759,0.572892,178.420349,-2.5717754,118.959,14.418,10.591,13.6506,CANDIDATE
1,1,0,2018,0,21.204739,9.11013939,0.81,0,5154,1.761722,182.2046312,-2.4646145,573.991,11.965,9.8,11.7673,CANDIDATE
0,1,0,2016,0,2.519334,3.91,0.349,0,6283,1.45,171.2359519,-2.0851597,476.884,12.293,10.89,12.1049,FALSE POSITIVE
0,1,0,2016,0,2.5194039,7.65729,0.68313883,0,6380,1.76,171.2359519,-2.0851597,476.884,12.293,10.89,12.1049,FALSE POSITIVE
1,1,0,2016,0,2.519386,19.6,1.75,0,5286,2.03,171.2359519,-2.0851597,476.884,12.293,10.89,12.1049,FALSE POSITIVE
0,1,0,2016,0,2.51881781,2.6,0.23106432,0,6380,1.76277,171.2359519,-2.0851597,476.884,12.293,10.89,12.1049,FALSE POSITIVE
0,1,0,2016,0,2.5194078,7.99,0.71282006,0,7119,1.72,171.2359519,-2.0851597,476.884,12.293,10.89,12.1049,FALSE POSITIVE
0,1,0,2018,0,13.383629,2.87289326,0.26,0,5216,0.815235,184.0351247,-1.6737612,194.195,13.002,10.708,12.6813,CANDIDATE
1,1,0,2018,0,13.38382,2.7,0.24,0,5113.71,0.65973,184.0351247,-1.6737612,194.195,13.002,10.708,12.6813,CANDIDATE
1,1,0,2019,0,11.8951,2.6,0.23106432,0,5040,0.68,185.1812113,-1.5883337,449.79,12.788,11.271,12.627,CANDIDATE
1,1,0,2019,0,40.1401,20.8,1.86,0,5286,0.716,173.1750869,-1.5587834,342.596,16.153,12.567,15.5853,CANDIDATE
1,1,0,2019,0,7.4433,2.73,0.244,0,5286,0.724,168.7367646,-1.4622181,328.871,15.374,12.165,14.943,CANDIDATE
1,1,0,2018,0,2.638,2.91,0.26,0,4264.47,0.863,184.5853275,-1.0989451,264.78,14.872,11.39,14.4164,CANDIDATE
1,1,0,2018,0,27.47083,3.36,0.3,0,4947.03,0.749863,183.188479,-1.0748315,273.773,13.687,11.282,13.3313,CANDIDATE
1,1,0,2016,0,2.8268121,40.1,3.57748238,0,5736,0.98,174.0440867,-0.8407078,649.666,12.137,10.399,11.8038,CANDIDATE
1,1,1,2021,0,0.72091,1.5,0.13382127,0,5633,0.94,184.6021322,-0.5512886,706.391,14.321,12.581,14.147,CONFIRMED
1,1,0,2016,0,4.44044,1.32,0.118,0,5286,1.053,173.6002346,-0.3345702,243.084,11.838,10.484,11.9904,CANDIDATE
0,1,0,2016,0,4.4416421,1.17,0.10438041,0,5547,0.9,173.6002346,-0.3345702,243.084,11.838,10.484,11.9904,CANDIDATE
0,1,0,2016,0,4.441258,1.12422498,0.1,0,5450,0.833852,173.6002346,-0.3345702,243.084,11.838,10.484,11.9904,CANDIDATE
1,1,0,2019,0,11.20381,2.18,0.194,0,5286,1.1,170.6512345,-0.2798534,325.849,12.238,10.496,11.8803,CANDIDATE
1,1,0,2021,0,8.006875,2.384,0.2126866,0,5403,0.846,185.6973984,-0.1218824,511.581,14.285,12.283,13.9771,CANDIDATE
1,1,0,2016,0,3.3643115,85.6,7.63672049,0,6240,1.32,168.187478,0.3478732,147.352,8.45,7.211,8.32033,CANDIDATE
1,1,1,2019,0,2.13174,0.692,0.0617361,0,5286,0.863,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CONFIRMED
0,1,1,2016,0,13.837814,1.96,0.17485949,0,4535,0.7,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CANDIDATE
1,1,1,2016,0,13.8394,1.29,0.115,0,5286,0.554,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CANDIDATE
1,1,1,2016,0,7.79983,1.37,0.122,0,5286,0.554,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CANDIDATE
0,1,1,2016,0,7.7991586,1.57,0.14006602,0,4535,0.7,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CANDIDATE
1,1,1,2019,0,3.883,1.06,0.09456703,0,5286,0.554,168.9366786,0.4880606,253.026,13.948,11.438,13.7368,CANDIDATE
0,1,0,2016,0,2.3330982,5.48,0.48889285,0,3726,0.5,173.5625041,0.7138555,166.356,18.96,13.362,17.4548,CANDIDATE
0,1,0,2016,0,2.33293,3.2,0.29,0,3508,0.224,173.5625041,0.7138555,166.356,18.96,13.362,17.4548,CANDIDATE
