toi,tid,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,koi_disposition
1000.01,50365310,112.357708,-12.69596,-5.964,-0.076,2459229.63,2.1713484,2.0172196,656.8860989,5.8181633,22601.94858,3127.204052,9.604,485.735,10249,4.19,2.16986,FALSE POSITIVE
1001.01,88863718,122.580465,-5.513852,-4.956,-15.555,2459987.949,1.9316462,3.166,1286,11.2154,44464.5,4045,9.42344,295.862,7070,4.03,2.01,CANDIDATE
1002.01,124709665,104.726966,-10.580455,-1.462,-2.249,2459224.688,1.8675574,1.408,1500,23.7529,2860.61,2037,9.299501,943.109,8924,4.33418,5.73,FALSE POSITIVE
1003.01,106997505,110.559945,-25.207017,-0.939,1.64,2458493.396,2.74323,3.167,383.41,10.50417995,1177.36,1631,9.3003,7728.17,5388.5,4.15,1.23,FALSE POSITIVE
1004.01,238597883,122.178195,-48.802811,-4.496,9.347,2459987.047,3.5730141,3.37,755,11.3113,54679.3,4260,9.1355,356.437,9219,4.14,2.15,FALSE POSITIVE
1005.01,169904935,120.704811,-11.101521,-26.932,-2.901,2459985.157,4.5505945,2.654,3731,7.10841,414.775,1257,9.1309,100.711,5613,4.33418,1.09,FALSE POSITIVE
1006.01,156115721,124.359239,-27.273521,-29.1,-6.8,2459229.985,2.5047918,4.3797563,2270.540219,8.6950898,1750.932635,1649.82207,9.2386,370.553,6616,4.33418,1.53429,FALSE POSITIVE
1007.01,65212867,112.752393,-4.463359,0.357,3.399,2459247.931,6.9989206,3.953,2840,14.7752,448.744,1282,8.87759,283.291,6596,3.71,2.7,CANDIDATE
1008.01,440801822,109.382839,13.395219,-17.9,1.3,2460258.236,2.0483755,2.767,483,3.19621,5644.4,1175.803988,8.9362,144.297,6858.5,4.2,1.57,FALSE POSITIVE
1009.01,107782586,111.667845,-24.462111,-3.297,4.849,2459229.231,1.9600277,2.0065257,1707.627269,10.50417995,1063.342296,1456.424653,8.4331,866.147,8868.7,4.33418,1.23,CANDIDATE
101.01,231663901,318.737012,-55.871863,12.641,-16.011,2458326.009,1.4303699,1.6165994,18960.71229,13.1874503,1281.240825,1525.904809,12.4069,375.31,5600,4.48851,0.890774,CONFIRMED
1010.01,139853601,112.293981,-21.832912,-5.746,4.502,2459228.878,0.6808702,2.4634563,1507.800689,5.9115908,87140.69959,4382.026606,8.45086,485.122,9438,4.33418,1,FALSE POSITIVE
1011.01,114018671,113.984761,-32.841999,145.102,-134.901,2459984.628,2.4704981,2.191,250,1.44656,575.597,1364,8.2388,52.62,5413.7,4.46,0.94,CANDIDATE
1013.01,97700520,107.286063,-31.933523,-3.973,7.061,2459232.248,5.4255548,3.9637474,14939.63422,10.50417995,273.5880696,1037.275305,7.6095,510.295,8868.7,4.33418,1.23,FALSE POSITIVE
1014.01,96246348,103.561602,-34.22282,-13.063,9.737,2459985.657,1.4095184,0.9484999,2841.510326,10.50417995,1650.422071,1625.618022,7.678,224.672,9307,4.33418,1.23,FALSE POSITIVE
1015.01,155044736,122.895964,-27.971896,1.566,-17.974,2459963.61,1.3730466,2.5708515,1301.506534,42.1479417,3160.632833,1912.331864,10.7069,906.496,4897,4.33418,6.7996101,FALSE POSITIVE
1016.01,175310067,116.110771,-36.098285,-9.231,11.614,2459238.831,12.6889415,7.9201001,3232.852789,14.0608342,425.1594177,1158.131037,10.6257,368.646,7601,4.31,1.53641,FALSE POSITIVE
1017.01,182943944,124.726411,-37.78325,-11.278,9.593,2458518.965,1.10422,2.37,14177.7,21.0448,39459.3,3926,10.6019,406.997,6995.2,4.07,1.61,FALSE POSITIVE
1018.01,291555748,111.716019,-50.266567,-8.018,11.56,2458492.781,4.95912,2.509,7440,22.9123,673.55,1419,10.6254,360.541,5889,3.86,2,FALSE POSITIVE
1019.01,341420329,120.147994,-54.878552,-11.732,2.586,2459232.447,5.2341008,3.7078139,20796.94163,24.2931408,1453.666385,1574.838185,10.6348,399.544,7645,4.3,1.56203,CANDIDATE
102.01,149603524,87.139821,-63.988329,-15.641,26.046,2460187.917,4.4119378,3.65,15062,15.4706,653.252,1408,9.7109,175.631,6280,4.32092,1.21,CONFIRMED
